MUNICIPALITY NAME,TOTAL NUMBER OF ELECTORS,NUMBER OF ELECTORS WHO VOTED,ADVANCED POLLS - ALTERNATE VOTING METHODS,ADVANCED POLLS - VOTE BY MAIL,ADVANCED POLLS - TELEPHONE VOTING,ADVANCED POLLS - INTERNET VOTING,ADVANCED POLLS - VOTING TABULATORS,ADVANCED POLLS - TOUCH SCREEN,ADVANCED POLLS - ACCESSIBLE METHODS,ADVANCED POLLS - OTHER,ADVANCED POLLS - OTHER DESCRIPTION,VOTING DAY - ALTERNATE VOTING METHODS,VOTING DAY - VOTE BY MAIL,VOTING DAY - TELEPHONE VOTING,VOTING DAY - INTERNET VOTING,VOTING DAY - VOTING TABULATORS,VOTING DAY - TOUCH SCREEN,VOTING DAY - ACCESSIBLE METHODS,VOTING DAY - OTHER,VOTING DAY - OTHER DESCRIPTION,NOMINATION PERIOD EXTENDED?,SEATS VACANT,QUESTION ON BALLOT,BALLOT QUESTION 1,QUESTION 1 - NUMBER OF YES VOTES,QUESTION 1 - NUMBER OF NO VOTES,QUESTION 1 - TOTAL BALLOTS CAST,QUESTION 1 - ELIGIBLE VOTERS,BALLOT QUESTION 2,QUESTION 2 - NUMBER OF YES VOTES,QUESTION 2 - NUMBER OF NO VOTES,QUESTION 2 - TOTAL BALLOTS CAST,QUESTION 2 - ELIGIBLE VOTERS,BALLOT QUESTION 3,QUESTION 3 - NUMBER OF YES VOTES,QUESTION 3 - NUMBER OF NO VOTES,QUESTION 3 - TOTAL BALLOTS CAST,QUESTION 3 - ELIGIBLE VOTERS,MAYOR - NUMBER OF CANDIDATES FOR THE OFFICE,DEPUTY MAYOR - NUMBER OF CANDIDATES FOR THE OFFICE,VICE DEPUTY MAYOR - NUMBER OF CANDIDATES FOR THE OFFICE,REEVE - NUMBER OF CANDIDATES FOR THE OFFICE,DEPUTY REEVE - NUMBER OF CANDIDATES FOR THE OFFICE,COUNCILLOR - NUMBER OF CANDIDATES FOR THE OFFICE,REGIONAL CHAIR - NUMBER OF CANDIDATES FOR THE OFFICE,DISTRICT CHAIR - NUMBER OF CANDIDATES FOR THE OFFICE
Durham R,"124,000","57,905",YES,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,YES,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,NO,NO,NO,,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,0,0,0,0,0,0,6,0
Pickering C,"66,564","22,877",YES,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,YES,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,NO,NO,YES,Are you in favour of the Council of the City of Pickering passing a resolution requesting that the Council of the Region of Durham take the necessary steps to reduce the size of Regional Council by distributing the seats based on the population of each municipality? ,"18,225","3,250","22,877","66,564","Are you in favour of a gaming facility (casino) in the City of Pickering as part of a Hotel, Convention Centre, Entertainment Complex in a non-residential area? ","13,100","8,812","22,877","66,564",,  ,  ,  ,  ,3,0,0,0,0,21,6,0
Ajax T,"74,891","22,785",YES,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,YES,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,NO,NO,YES,Are you in favor of the Council of the Town of Ajax passing a resolution requesting that Council of the Region of Durham take the necessary steps to reduce the size of Regional Council by distributing the seats based on the population of each municipality? YES or NO,"18,895","2,906","22,307","74,891",,  ,  ,  ,  ,,  ,  ,  ,  ,3,0,0,0,0,18,6,0
Whitby T,"87,406","23,498",YES,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,YES,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,NO,NO,YES,Are you in favour of the Council of the Town of Whitby passing a resolution requesting that the Council of the Region of Durham take the necessary steps to reduce the size of Regional Council by distributing the seats based on the population of each municipality?,"17,402","2,657","23,498","87,406",,  ,  ,  ,  ,,  ,  ,  ,  ,5,0,0,0,0,28,6,0
Oshawa C,"110,789","29,271",YES,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,YES,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,NO,NO,YES,"Are you in favour of electing all Oshawa Councillors, being:
(i)    those elected only to City Council, and
(ii)   those elected to both City Council and Durham Regional Council,
other than the Mayor, by ward vote instead of general city-wide vote?","19,013","7,530","29,271","110,789",,  ,  ,  ,  ,,  ,  ,  ,  ,9,0,0,0,0,40,0,0
Clarington M,"62,329","19,032",YES,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,YES,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,NO,NO,NO,,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,2,0,0,0,0,19,6,0
Scugog Tp,"17,942","8,450",YES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,YES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NO,NO,NO,,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,2,0,0,0,0,13,6,0
Uxbridge Tp,"16,121","8,156",YES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,YES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NO,NO,NO,,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,3,0,0,0,0,17,1,0
Brock Tp,"10,325","4,518",YES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,YES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NO,NO,NO,,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,3,0,0,0,0,17,0,0
York R,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NO,NO,NO,,  ,  ,  ,  ,,  ,  ,  ,  ,,  ,  ,  ,  ,0,0,0,0,0,0,0,0
