MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
Addington Highlands Tp,Hogg,Henry,Reeve,980,1539,Elected,Yes,Yes,No
Addington Highlands Tp,Fritsch,Tony,Local Councillor,464,1226,Elected,Yes,Yes,No
Addington Highlands Tp,Thompson,Kirby,Local Councillor,377,1226,Elected,Yes,Yes,No
Addington Highlands Tp,Yanch,E. Helen,Local Councillor,366,1482,Elected,Yes,Yes,No
Addington Highlands Tp,Hook,Kenneth,Local Councillor,563,1482,Elected,No,No,No
Adelaide-Metcalfe Tp,Clarke,Susan,Mayor,,,Acclaimed,Yes,No,No
Adelaide-Metcalfe Tp,Brodie,Mike,Local Councillor,581,3091,Elected,Yes,Yes,No
Adelaide-Metcalfe Tp,MacKinnon,Betty Ann,Local Councillor,460,3091,Elected,Yes,Yes,No
Adelaide-Metcalfe Tp,Kingma,Garett,Local Councillor,455,3091,Elected,No,No,No
Adelaide-Metcalfe Tp,Noordhof,Arend,Local Councillor,467,3091,Elected,No,No,No
Adjala-Tosorontio Tp,Anderson,Scott W.,Mayor,1608,3604,Elected,Yes,No,No
Adjala-Tosorontio Tp,Simson,Anub,Local Councillor,403,604,Elected,No,No,No
Adjala-Tosorontio Tp,Meadows,Bob,Local Councillor,455,696,Elected,Yes,No,No
Adjala-Tosorontio Tp,O'Leary,Ronald,Local Councillor,434,667,Elected,Yes,Yes,No
Adjala-Tosorontio Tp,Borsos,Miklos,Local Councillor,322,923,Elected,No,No,No
Adjala-Tosorontio Tp,Cox,Adam,Local Councillor,356,714,Elected,No,No,No
Adjala-Tosorontio Tp,Lachs,Julius,Deputy Mayor,1828,3604,Elected,No,No,No
Admaston-Bromley Tp,Donohue,Michael,Mayor,718,1302,Elected,Yes,Yes,No
Admaston-Bromley Tp,LeGris,Kevin,Local Councillor,801,1321,Elected,Yes,Yes,No
Admaston-Bromley Tp,Gourley,Keith,Local Councillor,1052,1321,Elected,No,No,No
Admaston-Bromley Tp,Hamilton,Brian,Local Councillor,703,1321,Elected,No,No,No
Admaston-Bromley Tp,Field,Angela,Local Councillor,679,1321,Elected,No,No,No
Ajax T,Collier,Shaun,Mayor,11691,18759,Elected,Yes,Yes,No
Ajax T,Tyler-Morin,Rob,Local Councillor,4475,6298,Elected,Yes,Yes,No
Ajax T,Henry,Nancy,Local Councillor,1667,5340,Elected,No,No,No
Ajax T,Bower,Lisa,Local Councillor,6117,6941,Elected,Yes,Yes,No
Ajax T,Crawford,Marilyn,Local and Regional Councillor,5108,6330,Elected,Yes,Yes,No
Ajax T,Lee,Sterling,Local and Regional Councillor,3066,5217,Elected,Yes,Yes,No
Ajax T,Dies,Joanne,Local and Regional Councillor,5095,6906,Elected,Yes,Yes,No
Alberton Tp,Ford,Mike,Reeve,194,353,Elected,Yes,Yes,No
Alberton Tp,Spence,Shawn,Local Councillor,,,Acclaimed,Yes,Yes,No
Alberton Tp,Glowasky,Diane,Local Councillor,,,Acclaimed,Yes,Yes,No
Alberton Tp,Dennis,Tyson,Local Councillor,,,Acclaimed,Yes,Yes,No
Alberton Tp,Spuzak,Peter,Local Councillor,,,Acclaimed,Yes,Yes,No
Alfred and Plantagenet Tp,Laviolette,Yves,Mayor,1454,3442,Elected,Yes,Yes,No
Alfred and Plantagenet Tp,Cadieux,Jean-Pierre,Local Councillor,,,Acclaimed,Yes,Yes,No
Alfred and Plantagenet Tp,Viau,Antoni,Local Councillor,1153,3070,Elected,Yes,Yes,No
Alfred and Plantagenet Tp,Walker,Ian,Local Councillor,1121,3070,Elected,Yes,Yes,No
Alfred and Plantagenet Tp,Lamarche,Benoit,Local Councillor,,,Acclaimed,No,No,No
Algonquin Highlands Tp,Danielsen,Liz,Mayor,1024,2288,Elected,Yes,No,No
Algonquin Highlands Tp,Barry,Lisa,Local Councillor,798,1573,Elected,Yes,Yes,No
Algonquin Highlands Tp,Dailloux,Jennifer,Local Councillor,,,Acclaimed,Yes,Yes,No
Algonquin Highlands Tp,Shortreed,Julia,Local Councillor,,,Acclaimed,Yes,Yes,No
Algonquin Highlands Tp,Richards,Sabrina,Local Councillor,930,1573,Elected,No,No,No
Alnwick-Haldimand Tp,Logel,John,Mayor,1034,2468,Elected,No,No,No
Alnwick-Haldimand Tp,Booth,Greg,Local Councillor,1012,6382,Elected,Yes,Yes,No
Alnwick-Haldimand Tp,Ainsworth,Mike,Local Councillor,1426,6382,Elected,No,No,No
Alnwick-Haldimand Tp,O'Neill,Mary Catherine,Local Councillor,1231,6382,Elected,No,No,No
Alnwick-Haldimand Tp,Stover,Joan,Deputy Mayor,1645,2460,Elected,No,No,No
Amaranth Tp,Gerrits,Chris,Mayor,700,1126,Elected,Yes,No,No
Amaranth Tp,Metzger,Brad,Local Councillor,695,,Elected,No,No,No
Amaranth Tp,Graham,Susan,Local Councillor,655,,Elected,No,No,No
Amaranth Tp,Stirk,Andrew,Local Councillor,609,,Elected,No,No,No
Amaranth Tp,Little,Gail,Deputy Mayor,580,1104,Elected,Yes,No,No
Amherstburg T,Prue,Michael,Mayor,3488,7129,Elected,Yes,No,No
Amherstburg T,Courtney,Peter,Local Councillor,2743,29785,Elected,Yes,Yes,No
Amherstburg T,McArthur,Donald,Local Councillor,3091,29785,Elected,Yes,Yes,No
Amherstburg T,Allaire,Molly,Local Councillor,2858,29785,Elected,No,No,No
Amherstburg T,Crain,Linden,Local Councillor,3795,29785,Elected,No,No,No
Amherstburg T,Pouget,Diane,Local Councillor,2624,29785,Elected,No,No,No
Amherstburg T,Gibb,Chris,Deputy Mayor,2766,7093,Elected,No,No,No
Armour Tp,Ward,Rod,Mayor,,,Acclaimed,Yes,No,No
Armour Tp,Blakelock,Rod,Local Councillor,,,Acclaimed,Yes,Yes,No
Armour Tp,Brandt,Jerry,Local Councillor,,,Acclaimed,Yes,Yes,No
Armour Tp,Whitwell,Wendy,Local Councillor,,,Acclaimed,Yes,Yes,No
Armour Tp,Haggart-Davis,Dorothy,Local Councillor,,,Acclaimed,No,No,No
Armstrong Tp,Boileau,Jean Marc,Mayor,,,Acclaimed,Yes,Yes,No
Armstrong Tp,Perreault,Daniel,Local Councillor,,,Acclaimed,Yes,Yes,No
Armstrong Tp,Rivard,Reynald,Local Councillor,,,Acclaimed,Yes,Yes,No
Armstrong Tp,Rivard,Michèle,Local Councillor,,,Acclaimed,Yes,Yes,No
Armstrong Tp,Harrison,Peggy,Local Councillor,,,Acclaimed,No,No,No
Arnprior T,McGee,Lisa,Mayor,1868,3518,Elected,Yes,No,No
Arnprior T,Burnette,Tom,Local Councillor,1647,15224,Elected,Yes,Yes,No
Arnprior T,Grinstead,Lynn,Local Councillor,1674,15224,Elected,Yes,Yes,No
Arnprior T,Toner,Chris,Local Councillor,2078,15224,Elected,Yes,Yes,No
Arnprior T,Couper,Chris,Local Councillor,1921,15224,Elected,No,No,No
Arnprior T,Denault,Billy,Local Councillor,1621,15224,Elected,No,No,No
Arnprior T,Lynch,Dan,Local and County Councillor,1987,3256,Elected,Yes,Yes,No
Arran-Elderslie M,Hammell,Steve,Mayor,,,Acclaimed,Yes,Yes,No
Arran-Elderslie M,Nickason,Ryan,Local Councillor,489,563,Elected,Yes,Yes,No
Arran-Elderslie M,Dudgeon,Brian,Local Councillor,218,337,Elected,Yes,Yes,No
Arran-Elderslie M,Hampton,Darryl,Local Councillor,,,Acclaimed,No,No,No
