Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20 0:00,
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20 0:00,
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20 0:00,
,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2021-09-20 0:00,
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20 0:00,
,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20 0:00,
,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20 0:00,
Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20 0:00,
,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20 0:00,
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20 0:00,
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20 0:00,
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20 0:00,
,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20 0:00,
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20 0:00,
,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20 0:00,
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20 0:00,
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20 0:00,
,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20 0:00,
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20 0:00,
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20 0:00,
,John,Barlow,Foothills,Alberta,Conservative,2021-09-20 0:00,
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20 0:00,
,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20 0:00,
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20 0:00,
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2021-09-20 0:00,
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2021-09-20 0:00,
,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2021-09-20 0:00,
