Honorific,First name,Last name,Gender,Office type,Address,City,Province,Postal code,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,Parliamentary role,Member ID
,Adil,Shamji,Male ,Legislative office,"Room 157
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,,416-325-0105,,,,Don Valley East,Ontario Liberal Party,,7593
,Adil,Shamji,Male ,Constituency office,"Suite L02
1200 Lawrence Ave. E
",Toronto,ON,M3A 1C1,ashamji.mpp.co@liberal.ola.org,,416-494-6856,416-494-9937,,,Don Valley East,Ontario Liberal Party,,7593
,Patrice,Barnes,Female ,Ministry office,"Ministry of Education
5th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Patrice.Barnes@pc.ola.org,,,,,Ajax,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Education,7584
,Patrice,Barnes,Female ,Constituency office,"Suite 502
230 Westney Rd. S
",Ajax,ON,L1S 7J5,,Patrice.Barnes@pc.ola.org,905-427-2060,905-427-6976,,,Ajax,Progressive Conservative Party of Ontario,Parliamentary Assistant to the Minister of Education,7584
,Lucille,Collard,Female ,Constituency office,"237 Montreal Rd.
",Vanier,ON,K1L 6C7,LCollard.mpp.co@liberal.ola.org,,613-744-4484,613-744-0889,,,Ottawa—Vanier,Ontario Liberal Party,,7565
,Lucille,Collard,Female ,Legislative office,"Room 165
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,,416-325-0007,416-325-0172,,,Ottawa—Vanier,Ontario Liberal Party,,7565
,Stephen,Blais,Male ,Constituency office,"Unit 204
4473 Innes Rd.
",Orleans,ON,K4A 1A7,sblais.mpp.co@liberal.ola.org,,613-834-8679,613-834-7647,,,Orléans,Ontario Liberal Party,,7564
,Stephen,Blais,Male ,Legislative office,"Room 167
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,,416-325-0035,,,,Orléans,Ontario Liberal Party,,7564
,Laura Mae,Lindo,Female ,Constituency office,"Suite 500
151 Frederick St.
",Kitchener,ON,N2H 2M2,,LLindo-QP@ndp.on.ca,519-579-5460  ,519-579-2121  ,,,Kitchener Centre,New Democratic Party of Ontario,,7480
,Laura Mae,Lindo,Female ,Legislative office,"Room 463
Main Legislative Building, Queen's Park
",Toronto,ON,M7A 1A5,,LLindo-QP@ndp.on.ca,416-326-7221  ,416-326-7217 ,,,Kitchener Centre,New Democratic Party of Ontario,,7480
Hon.,Stephen,Lecce,Male ,Ministry office,"Ministry of Education
5th Floor
438 University Ave.
",Toronto,ON,M5G 2K8,,Stephen.Lecce@pc.ola.org,416-325-2600,,,,King—Vaughan,Progressive Conservative Party of Ontario,Minister of Education,7479
Hon.,Stephen,Lecce,Male ,Constituency office,"Unit 1
2220 King Rd.
",King City,ON,L7B 1L3,,Stephen.Lecce@pc.ola.org,647-560-9700  ,647-560-9701 ,,,King—Vaughan,Progressive Conservative Party of Ontario,Minister of Education,7479
