Organization,District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Legislative Assembly of Alberta,Airdrie-Cochrane,MLA,Pete Guthrie,Pete,Guthrie,,United Conservative Party,Airdrie.Cochrane@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0920.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0920&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-3018,1 780 638-3506,constituency,"Suite 1B, 60 Railway Street East, Cochrane, AB, Canada",1 587 493-2050,1 403 840-0439,,,,
Legislative Assembly of Alberta,Airdrie-East,MLA,Angela Pitt,Angela,Pitt,,United Conservative Party,Airdrie.East@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0894.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0894&legl=30&from=mla_home,,,,,,,legislature,"513D Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 644-7121,1 780 638-3506,constituency,"209 Bowers Street, Airdrie, AB, Canada",1 403 948-8741,1 403 948-8744,,,,
Legislative Assembly of Alberta,Athabasca-Barrhead-Westlock,MLA,Glenn van Dijken,Glenn van,Dijken,,United Conservative Party,Athabasca.Barrhead.Westlock@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0898.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0898&legl=30&from=mla_home,,,,,,,legislature,"503A Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 644-7152,1 780 638-3506,constituency,"5106 - 50 Street, Barrhead, AB, Canada",1 780 674-3225,1 780 674-6183,,,,
Legislative Assembly of Alberta,Banff-Kananaskis,MLA,Miranda Rosin,Miranda,Rosin,,United Conservative Party,Banff.Kananaskis@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0936.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0936&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 643-1027,1 780 638-3506,constituency,"206, 1080 Railway Avenue, Canmore, AB, Canada",1 403 609-4509,1 403 609-4513,,,,
Legislative Assembly of Alberta,Bonnyville-Cold Lake-St. Paul,MLA,David B. Hanson,David B.,Hanson,,United Conservative Party,Bonnyville.ColdLake.StPaul@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0888.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0888&legl=30&from=mla_home,,,,,,,legislature,"503F Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 587 404-8096,1 780 638-3506,constituency,"Box 5160, #2, 4428 - 50 Avenue, Bonnyville, AB, Canada",1 780 826-5658,1 780 826-2165,,,,
Legislative Assembly of Alberta,Brooks-Medicine Hat,MLA,Michaela Glasgo,Michaela,Glasgo,,United Conservative Party,Brooks.MedicineHat@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0918.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0918&legl=30&from=mla_home,,,,,,,legislature,"6th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 638-3022,1 780 638-3506,constituency,"#4, 650 Cassils Rd. E, Brooks, AB, Canada",1 587 270-5110,1 587 270-5113,,,,
Legislative Assembly of Alberta,Calgary-Acadia,MLA,Tyler Shandro,Tyler,Shandro,,United Conservative Party,Calgary.Acadia@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0944.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0944&legl=30&from=mla_home,,,,,,,legislature,"423 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-3665,1 780 415-0961,constituency,"Suite #105, 10333 Southport Road SW, Calgary, AB, Canada",1 403 640-1363,,,,,
Legislative Assembly of Alberta,Calgary-Beddington,MLA,Josephine Pon,Josephine,Pon,,United Conservative Party,Calgary.Beddington@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0933.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0933&legl=30&from=mla_home,,,,,,,legislature,"404 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 415-9550,1 780 415-9411,constituency,"Unit 106, 8220 Centre Street NE, Calgary, AB, Canada",1 403 215-7710,,,,,
Legislative Assembly of Alberta,Calgary-Bow,MLA,Demetrios Nicolaides,Demetrios,Nicolaides,,United Conservative Party,Calgary.Bow@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0931.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0931&legl=30&from=mla_home,,,,,,,legislature,"403 Legislature Building, 10800 - 97 Avenue NW, Edmonton, AB, Canada",1 780 427-5777,1 780 422-8733,constituency,"Suite 2214, 8561 - 8A Avenue SW, Calgary, AB, Canada",1 403 216-5400,1 403 216-5402,,,,
Legislative Assembly of Alberta,Calgary-Buffalo,MLA,Joe Ceci,Joe,Ceci,,Alberta New Democratic Party,Calgary.Buffalo@assembly.ab.ca,https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0838.jpg,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0838&legl=30&from=mla_home,,,,,,,legislature,"5th Floor, 9820 - 107 Street, Edmonton, AB, Canada",1 780 415-1800,1 780 415-0701,constituency,"1173 - 11 Avenue SW, Calgary, AB, Canada",1 403 244-7737,1 403 541-9106,,,,
